CalendarYear;YearMonthNumber;QuarterLabel;MonthYear;TerritoryGroup;Country;Region;ProductCategory;ProductSubcategory;IncomeGroup;AgeGroup;Gender;Occupation;HouseOwnerFlag;Revenue;Profit;UnitsSold;SalesOrderNumber;CustomerKey
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Bikes;Mountain Bikes;Low Income;55+;Male;Professional;0;6453.68;2472.86;2;SO000014;11882
2011;201101;Q1;Jan 2011;Europe;France;France;Bikes;Mountain Bikes;High Income;55+;Female;Clerical;1;2218.15;953.45;1;SO000015;11002
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Mountain Bikes;Middle Income;55+;Male;Professional;0;1358.57;515.70;1;SO000016;11058
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Clothing;Gloves;Middle Income;55+;Male;Professional;0;22.78;8.35;1;SO000016;11058
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Tires and Tubes;High Income;36-45;Female;Management;1;111.84;73.24;1;SO000017;11673
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Clothing;Shorts;Low Income;36-45;Female;Management;1;50.67;20.44;1;SO000018;11009
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;36-45;Female;Management;1;2570.02;1064.93;1;SO000018;11009
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Accessories;Bottles and Cages;Middle Income;55+;Male;Skilled Manual;1;103.08;63.95;1;SO000019;11679
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Bikes;Mountain Bikes;Middle Income;55+;Male;Skilled Manual;1;1886.01;739.57;1;SO000019;11679
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Bikes;Road Bikes;Middle Income;36-45;Female;Manual;1;6682.95;2918.90;3;SO000020;11003
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Tires and Tubes;Low Income;36-45;Male;Skilled Manual;0;213.36;130.69;2;SO000021;11596
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Bottles and Cages;Low Income;36-45;Male;Skilled Manual;0;96.66;57.32;3;SO000021;11596
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Clothing;Jerseys;Low Income;55+;Female;Clerical;0;22.71;9.03;1;SO000022;11819
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Bikes;Road Bikes;Middle Income;55+;Male;Management;0;6814.58;2673.56;2;SO000023;11204
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Accessories;Tires and Tubes;Middle Income;55+;Male;Management;0;199.98;131.01;3;SO000023;11204
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Bikes;Road Bikes;Low Income;55+;Female;Professional;0;3455.86;1310.64;1;SO000024;11118
2011;201101;Q1;Jan 2011;North America;United States;Northwest;Accessories;Tires and Tubes;Middle Income;18-25;Male;Skilled Manual;1;81.29;47.96;1;SO000025;11590
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;55+;Male;Management;1;7270.32;2865.06;3;SO000026;11307
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;Middle Income;55+;Male;Management;1;1288.51;557.75;1;SO000026;11307
2011;201101;Q1;Jan 2011;North America;Canada;Canada;Accessories;Tires and Tubes;Middle Income;55+;Female;Management;0;114.48;68.55;1;SO000027;11621
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Clothing;Gloves;Low Income;26-35;Female;Manual;0;93.76;36.75;2;SO000028;11317
2011;201101;Q1;Jan 2011;North America;Canada;Canada;Components;Saddles;High Income;55+;Male;Clerical;0;154.63;56.88;1;SO000029;11151
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Mountain Bikes;Middle Income;55+;Female;Clerical;1;4058.18;1585.67;2;SO000030;11467
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Road Bikes;Middle Income;55+;Female;Clerical;1;2877.49;1176.23;1;SO000030;11467
2011;201101;Q1;Jan 2011;North America;United States;Northwest;Bikes;Road Bikes;Middle Income;36-45;Female;Skilled Manual;0;1299.07;523.77;1;SO000031;11244
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Bottles and Cages;Low Income;55+;Female;Manual;0;45.45;29.10;1;SO000032;11338
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Clothing;Caps;Low Income;55+;Female;Manual;0;71.42;30.28;1;SO000032;11338
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Clothing;Jerseys;Middle Income;18-25;Female;Clerical;0;184.29;76.12;3;SO000033;11225
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;18-25;Female;Clerical;0;1992.76;745.34;1;SO000033;11225
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Mountain Bikes;Middle Income;55+;Female;Skilled Manual;1;1691.68;754.75;2;SO000034;11388
2011;201101;Q1;Jan 2011;North America;Canada;Canada;Bikes;Mountain Bikes;High Income;55+;Male;Professional;0;1310.30;558.13;1;SO000035;11229
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;High Income;36-45;Female;Professional;0;2702.04;1016.18;1;SO000036;11785
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Bottles and Cages;High Income;36-45;Female;Professional;0;93.84;60.81;1;SO000036;11785
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Accessories;Helmets;High Income;36-45;Female;Professional;0;140.16;81.75;2;SO000036;11785
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Components;Saddles;Low Income;55+;Male;Clerical;1;480.64;172.41;2;SO000037;11545
2011;201101;Q1;Jan 2011;North America;United States;Central;Bikes;Road Bikes;High Income;46-55;Female;Skilled Manual;0;2001.18;838.15;1;SO000038;11666
2011;201101;Q1;Jan 2011;North America;United States;Central;Bikes;Mountain Bikes;High Income;46-55;Female;Skilled Manual;0;1610.04;658.51;1;SO000038;11666
2011;201101;Q1;Jan 2011;Europe;United Kingdom;United Kingdom;Bikes;Mountain Bikes;Middle Income;46-55;Female;Manual;0;4136.04;1781.20;2;SO000039;11363
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;18-25;Female;Management;1;2249.72;894.27;1;SO000040;11707
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Components;Handlebars;Middle Income;18-25;Female;Management;1;248.72;80.72;1;SO000040;11707
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Bikes;Road Bikes;Middle Income;55+;Male;Management;0;6506.94;2554.88;3;SO000041;11236
2011;201101;Q1;Jan 2011;North America;United States;Northeast;Bikes;Mountain Bikes;Middle Income;55+;Male;Management;0;1710.47;674.24;1;SO000041;11236
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;26-35;Female;Management;1;1933.31;743.84;1;SO000042;11725
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Clothing;Shorts;Low Income;26-35;Female;Professional;0;37.37;15.12;1;SO000043;11052
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Accessories;Helmets;High Income;46-55;Female;Skilled Manual;1;86.70;51.75;3;SO000044;11610
2011;201102;Q1;Feb 2011;North America;United States;Northeast;Bikes;Mountain Bikes;Low Income;26-35;Male;Clerical;1;2679.48;1142.10;1;SO000045;11676
2011;201102;Q1;Feb 2011;North America;United States;Northeast;Bikes;Road Bikes;Low Income;26-35;Male;Clerical;1;1440.75;624.28;1;SO000045;11676
2011;201102;Q1;Feb 2011;North America;Canada;Canada;Bikes;Road Bikes;Middle Income;46-55;Male;Skilled Manual;0;3007.87;1334.58;1;SO000046;11603
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Clothing;Shorts;Middle Income;55+;Female;Clerical;0;21.81;8.25;1;SO000047;11449
2011;201102;Q1;Feb 2011;Europe;Germany;Germany;Bikes;Road Bikes;High Income;55+;Female;Manual;0;3265.00;1255.45;1;SO000048;11690
2011;201102;Q1;Feb 2011;Europe;Germany;Germany;Accessories;Helmets;High Income;55+;Female;Manual;0;51.96;31.47;1;SO000048;11690
2011;201102;Q1;Feb 2011;Europe;Germany;Germany;Bikes;Road Bikes;Middle Income;46-55;Female;Manual;0;2863.13;1257.47;1;SO000049;11107
2011;201102;Q1;Feb 2011;Europe;France;France;Accessories;Bottles and Cages;Middle Income;36-45;Female;Manual;1;20.07;12.10;1;SO000050;11844
2011;201102;Q1;Feb 2011;Europe;France;France;Clothing;Caps;Middle Income;36-45;Female;Manual;1;88.12;36.02;1;SO000050;11844
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Bikes;Mountain Bikes;Middle Income;46-55;Male;Management;0;2706.49;1111.58;1;SO000051;11245
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;High Income;36-45;Male;Clerical;0;2946.98;1276.63;2;SO000052;11279
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;High Income;36-45;Male;Clerical;0;707.18;302.73;1;SO000052;11279
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Clothing;Caps;High Income;36-45;Male;Clerical;0;102.52;40.88;2;SO000052;11279
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Helmets;Middle Income;36-45;Male;Management;1;59.39;38.79;1;SO000053;11340
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Clothing;Jerseys;Middle Income;26-35;Female;Professional;1;97.40;40.17;2;SO000054;11390
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Accessories;Tires and Tubes;Middle Income;55+;Male;Skilled Manual;1;12.87;8.11;1;SO000055;11158
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Components;Wheels;Middle Income;55+;Male;Skilled Manual;1;479.26;147.55;2;SO000055;11158
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Accessories;Helmets;Middle Income;55+;Male;Skilled Manual;1;84.81;55.32;1;SO000055;11158
2011;201102;Q1;Feb 2011;North America;United States;Northwest;Clothing;Gloves;Middle Income;46-55;Male;Management;1;62.66;24.48;1;SO000056;11047
2011;201102;Q1;Feb 2011;North America;United States;Central;Clothing;Caps;Low Income;46-55;Female;Clerical;1;202.29;75.38;3;SO000057;11699
2011;201102;Q1;Feb 2011;North America;United States;Central;Bikes;Road Bikes;Low Income;46-55;Female;Clerical;1;4612.89;2061.79;3;SO000057;11699
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Bikes;Road Bikes;Low Income;46-55;Female;Professional;0;4579.95;2052.90;3;SO000058;11706
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Clothing;Gloves;Middle Income;55+;Male;Manual;1;44.66;18.35;1;SO000059;11674
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Bottles and Cages;Middle Income;55+;Male;Manual;1;108.89;68.79;1;SO000059;11674
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Bikes;Mountain Bikes;Middle Income;55+;Male;Skilled Manual;1;6308.18;2518.66;2;SO000060;11316
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Middle Income;55+;Male;Skilled Manual;1;2839.04;1237.75;2;SO000060;11316
2011;201102;Q1;Feb 2011;Europe;France;France;Components;Saddles;High Income;46-55;Male;Clerical;0;1230.33;405.10;3;SO000061;11493
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Components;Brakes;Middle Income;46-55;Female;Manual;1;256.88;89.80;1;SO000062;11809
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Components;Handlebars;Middle Income;46-55;Female;Manual;1;425.49;129.80;3;SO000062;11809
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;Middle Income;26-35;Male;Professional;1;2159.72;877.48;2;SO000063;11843
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Tires and Tubes;Middle Income;26-35;Male;Professional;1;45.54;27.92;2;SO000063;11843
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;26-35;Male;Professional;1;3329.35;1306.37;1;SO000063;11843
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Components;Handlebars;Middle Income;36-45;Female;Professional;1;166.91;63.00;1;SO000064;11706
2011;201102;Q1;Feb 2011;Europe;Germany;Germany;Bikes;Road Bikes;Middle Income;55+;Male;Professional;1;3023.49;1252.74;1;SO000065;11868
2011;201102;Q1;Feb 2011;North America;United States;Northeast;Bikes;Mountain Bikes;Middle Income;26-35;Male;Skilled Manual;0;3126.05;1189.60;1;SO000066;11600
2011;201102;Q1;Feb 2011;North America;United States;Northeast;Bikes;Mountain Bikes;Middle Income;26-35;Male;Skilled Manual;0;744.19;291.15;1;SO000066;11600
2011;201102;Q1;Feb 2011;North America;United States;Northeast;Bikes;Road Bikes;Middle Income;26-35;Male;Skilled Manual;0;2787.86;1137.72;1;SO000066;11600
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Components;Brakes;Middle Income;36-45;Male;Manual;1;1289.28;430.75;3;SO000067;11796
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Tires and Tubes;Low Income;26-35;Male;Professional;0;73.70;44.48;1;SO000068;11110
2011;201102;Q1;Feb 2011;North America;Canada;Canada;Bikes;Road Bikes;High Income;26-35;Male;Clerical;1;2742.92;1083.46;1;SO000069;11517
2011;201102;Q1;Feb 2011;North America;Canada;Canada;Bikes;Road Bikes;High Income;26-35;Male;Clerical;1;1127.39;500.38;1;SO000069;11517
2011;201102;Q1;Feb 2011;North America;United States;Northwest;Bikes;Road Bikes;Low Income;26-35;Female;Management;0;1850.26;813.91;1;SO000070;11068
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;High Income;46-55;Female;Professional;0;2257.54;856.04;1;SO000071;11768
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;High Income;55+;Male;Manual;1;5048.61;1941.25;3;SO000072;11285
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;Low Income;55+;Male;Professional;0;2720.47;1175.64;1;SO000073;11146
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;55+;Male;Professional;1;1464.87;630.47;1;SO000074;11581
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;55+;Female;Manual;1;1272.38;567.01;1;SO000075;11116
2011;201102;Q1;Feb 2011;North America;United States;Southwest;Bikes;Mountain Bikes;Middle Income;26-35;Female;Clerical;0;3033.39;1318.00;1;SO000076;11785
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Bottles and Cages;Middle Income;46-55;Male;Skilled Manual;1;7.40;4.48;1;SO000077;11073
2011;201102;Q1;Feb 2011;Europe;France;France;Accessories;Helmets;High Income;55+;Male;Clerical;0;40.68;24.70;1;SO000078;11820
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Clothing;Gloves;Middle Income;26-35;Male;Skilled Manual;1;30.25;11.37;1;SO000079;11341
2011;201102;Q1;Feb 2011;Europe;United Kingdom;United Kingdom;Accessories;Helmets;Middle Income;26-35;Male;Skilled Manual;1;93.88;58.16;1;SO000079;11341
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;55+;Female;Skilled Manual;0;1469.09;550.17;1;SO000080;11772
2011;201102;Q1;Feb 2011;North America;United States;Southeast;Bikes;Road Bikes;Middle Income;26-35;Female;Professional;0;3371.85;1446.91;1;SO000081;11519
2011;201102;Q1;Feb 2011;North America;United States;Southeast;Bikes;Road Bikes;Middle Income;26-35;Female;Professional;0;1600.27;652.99;1;SO000081;11519
2011;201102;Q1;Feb 2011;Europe;France;France;Accessories;Tires and Tubes;Low Income;55+;Female;Professional;0;23.26;14.18;1;SO000082;11154
2011;201102;Q1;Feb 2011;Pacific;Australia;Australia;Accessories;Tires and Tubes;Middle Income;26-35;Female;Professional;1;102.93;67.64;1;SO000083;11289
2011;201103;Q1;Mar 2011;North America;United States;Central;Components;Handlebars;Middle Income;55+;Female;Clerical;0;336.01;109.63;1;SO000084;11153
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Components;Handlebars;Middle Income;46-55;Female;Professional;1;791.04;251.65;3;SO000085;11130
2011;201103;Q1;Mar 2011;North America;United States;Southwest;Bikes;Mountain Bikes;High Income;26-35;Male;Skilled Manual;0;5718.14;2485.81;2;SO000086;11140
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Clothing;Gloves;Middle Income;55+;Male;Clerical;1;41.66;17.69;1;SO000087;11169
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Bikes;Mountain Bikes;Middle Income;55+;Male;Clerical;1;3351.96;1504.21;1;SO000087;11169
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Middle Income;46-55;Male;Management;0;4505.42;1703.98;2;SO000088;11472
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Clothing;Jerseys;Middle Income;46-55;Male;Management;0;73.42;28.03;1;SO000088;11472
2011;201103;Q1;Mar 2011;North America;United States;Southeast;Bikes;Road Bikes;Low Income;55+;Female;Skilled Manual;0;3484.67;1393.84;1;SO000089;11525
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Clothing;Gloves;High Income;55+;Male;Management;0;105.68;43.25;2;SO000090;11028
2011;201103;Q1;Mar 2011;North America;United States;Northeast;Bikes;Mountain Bikes;High Income;46-55;Female;Professional;1;2922.92;1188.37;1;SO000091;11081
2011;201103;Q1;Mar 2011;Europe;Germany;Germany;Accessories;Bottles and Cages;Middle Income;18-25;Male;Management;1;26.54;16.81;1;SO000092;11113
2011;201103;Q1;Mar 2011;Europe;France;France;Bikes;Road Bikes;High Income;46-55;Male;Clerical;1;745.48;322.85;1;SO000093;11536
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Bikes;Road Bikes;High Income;55+;Female;Management;0;2881.60;1173.30;1;SO000094;11353
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Clothing;Jerseys;High Income;26-35;Female;Professional;1;41.71;16.34;1;SO000095;11712
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;Low Income;55+;Female;Skilled Manual;0;3846.92;1546.47;2;SO000096;11834
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;55+;Female;Skilled Manual;0;1223.09;520.26;1;SO000096;11834
2011;201103;Q1;Mar 2011;Europe;France;France;Bikes;Mountain Bikes;High Income;55+;Male;Clerical;0;1527.79;619.78;1;SO000097;11376
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Components;Brakes;Middle Income;26-35;Female;Manual;1;333.26;109.66;1;SO000098;11734
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Accessories;Tires and Tubes;High Income;26-35;Female;Professional;0;114.19;66.53;1;SO000099;11820
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Accessories;Bottles and Cages;Middle Income;55+;Male;Manual;1;23.94;14.24;3;SO000100;11157
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Components;Wheels;Middle Income;36-45;Female;Management;1;432.30;145.32;1;SO000101;11530
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Clothing;Caps;Middle Income;36-45;Female;Management;1;230.22;100.70;3;SO000101;11530
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Bikes;Mountain Bikes;Middle Income;36-45;Female;Management;0;8753.34;3404.51;3;SO000102;11327
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Bikes;Road Bikes;Middle Income;36-45;Female;Management;0;1732.95;752.61;1;SO000102;11327
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Clothing;Jerseys;Low Income;46-55;Female;Manual;1;42.19;15.44;1;SO000103;11564
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Bikes;Road Bikes;Low Income;46-55;Female;Manual;1;3158.29;1365.71;1;SO000103;11564
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;55+;Male;Professional;0;3352.95;1379.78;1;SO000104;11655
2011;201103;Q1;Mar 2011;Europe;Germany;Germany;Bikes;Road Bikes;Low Income;55+;Female;Management;1;3336.50;1275.66;1;SO000105;11290
2011;201103;Q1;Mar 2011;Europe;Germany;Germany;Accessories;Tires and Tubes;Low Income;55+;Female;Management;1;139.64;90.21;2;SO000105;11290
2011;201103;Q1;Mar 2011;North America;United States;Central;Accessories;Tires and Tubes;Middle Income;36-45;Female;Manual;0;39.74;23.83;1;SO000106;11029
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Middle Income;55+;Male;Clerical;1;3112.16;1231.00;1;SO000107;11826
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Mountain Bikes;Low Income;46-55;Male;Skilled Manual;0;841.69;375.08;1;SO000108;11881
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Bikes;Road Bikes;High Income;55+;Female;Manual;1;3161.41;1295.51;1;SO000109;11884
2011;201103;Q1;Mar 2011;Europe;France;France;Accessories;Bottles and Cages;High Income;36-45;Female;Professional;0;102.42;62.93;1;SO000110;11092
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Middle Income;46-55;Male;Skilled Manual;1;3469.45;1472.55;1;SO000111;11270
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Bikes;Road Bikes;Middle Income;55+;Female;Manual;1;812.71;303.23;1;SO000112;11121
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Accessories;Tires and Tubes;Middle Income;55+;Female;Manual;1;74.72;46.42;1;SO000112;11121
2011;201103;Q1;Mar 2011;Europe;France;France;Bikes;Road Bikes;Low Income;55+;Female;Manual;1;3078.82;1340.09;2;SO000113;11335
2011;201103;Q1;Mar 2011;North America;United States;Northwest;Accessories;Bottles and Cages;High Income;46-55;Male;Manual;1;144.22;85.61;2;SO000114;11377
2011;201103;Q1;Mar 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Low Income;55+;Male;Manual;0;2633.40;1060.81;1;SO000115;11644
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Components;Saddles;High Income;55+;Male;Management;0;184.33;57.85;1;SO000116;11793
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Middle Income;55+;Female;Manual;1;3336.16;1496.54;1;SO000117;11545
2011;201103;Q1;Mar 2011;North America;United States;Northeast;Bikes;Road Bikes;Middle Income;46-55;Female;Skilled Manual;1;3444.45;1499.96;1;SO000118;11789
2011;201103;Q1;Mar 2011;Europe;Germany;Germany;Accessories;Bottles and Cages;Low Income;55+;Male;Skilled Manual;1;66.94;43.82;1;SO000119;11791
2011;201103;Q1;Mar 2011;Europe;Germany;Germany;Accessories;Bottles and Cages;Low Income;55+;Male;Skilled Manual;1;90.20;54.04;1;SO000119;11791
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Accessories;Helmets;Middle Income;26-35;Female;Skilled Manual;1;352.38;208.83;3;SO000120;11051
2011;201103;Q1;Mar 2011;Europe;France;France;Clothing;Jerseys;Middle Income;36-45;Female;Skilled Manual;1;36.26;15.20;1;SO000121;11668
2011;201103;Q1;Mar 2011;Europe;France;France;Clothing;Jerseys;Middle Income;36-45;Female;Skilled Manual;1;96.75;41.66;3;SO000121;11668
2011;201103;Q1;Mar 2011;Europe;France;France;Bikes;Road Bikes;High Income;46-55;Female;Management;1;3299.67;1309.32;1;SO000122;11180
2011;201103;Q1;Mar 2011;Europe;France;France;Bikes;Road Bikes;High Income;46-55;Female;Management;1;2082.95;927.09;1;SO000122;11180
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;26-35;Male;Clerical;1;4579.58;1971.89;2;SO000123;11871
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;26-35;Male;Clerical;1;6031.14;2480.14;2;SO000123;11871
2011;201103;Q1;Mar 2011;Pacific;Australia;Australia;Bikes;Road Bikes;Low Income;26-35;Female;Management;0;4636.35;1983.57;3;SO000124;11088
2011;201103;Q1;Mar 2011;North America;United States;Southwest;Accessories;Tires and Tubes;Middle Income;26-35;Male;Clerical;1;78.45;51.40;1;SO000125;11011
2011;201103;Q1;Mar 2011;North America;Canada;Canada;Bikes;Road Bikes;High Income;46-55;Female;Manual;1;5891.18;2568.84;2;SO000126;11376
